SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Log
CHL-011,Srinivasa,,S,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-012,Dhanalaxmi,,D,,,,,,,,,,,,,,,mahesh,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-013,Swathi,,S,,,,,,,,,,,,,,,Prabhakar,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-014,Sulaxmi,,S,,,,,,,,,,,,,,,,Nizamabad,hyd road,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-015,Shivani,,S,,,,,,,,,,,,,,,Krishna,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-016,Pranav,,P,,,,,,,,,,,,,,,mahesh,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-017,Srihitha,,S,,,,,,,,,,,,,,,reddy,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-018,Amma Pharmacy,,AP,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-019,Anupama,,A,,,,,,,,,,,,,,,giri,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-020,Amrutha Laxmi,,AL,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-021,Kiran,,K,,,,,,,,,,,,,,,Srinivas,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-022,Jeevanthi,,J,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-023,Ghiri Pharmacy,,GP,,,,,,,,,,,,,,,,Nizamabad,armoor road,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
