SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
UAEPHAR00052,Aster Pharmacy 98,,,,,,,,,,,,,,,,,,  DUBAI-Aster Sonapur,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828
UAEPHAR00053,Aster Pharmacy Teecom,,,,,,,,,,,,,,,,,,DUBAI-Aster Teecom,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828
UAEPHAR00054,Aster Pharmacy 102,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00055,Aster Pharmacy 132 Hor Al Anz,,,,,,,,,,,,,,,,,,Dubai-Aster Hor Al Anz,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769983,55.3337049
UAEPHAR00056,Aster Pharmacy 142,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Qusais,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294
UAEPHAR00057,Aster Grand Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Nadha,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2925081,55.3724294
UAEPHAR00058,Aster Pharmacy al Warqa,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Warqa,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1914848,55.4305486
UAEPHAR00059,Aster Pharmacy 120,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Warqa,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1914848,55.4305486
UAEPHAR00060,Aster Medsave Pharmacy,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00061,Aster Pharmacy 126,,,,,,,,,,,,,,,,,,  DUBAI-Aster Karama,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00062,Aster  Pharmacy New Jlt,,,,,,,,,,,,,,,,,,  DUBAI-Aster Jumeriah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2016428,55.2452567
UAEPHAR00063,Aster Jabal Ali Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster Jabal Ali,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,24.9857145,55.0272904
UAEPHAR00064,Aster Pharmacy 115,,,,,,,,,,,,,,,,,,  DUBAI-Aster Discovery Garden,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828
UAEPHAR00065,Aster Pharmacy Avenue,,,,,,,,,,,,,,,,,,  DUBAI-Aster Business Bay,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1831647,55.272887
UAEPHAR00066,Aster Medshop Garden Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster Discovery Garden,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828
UAEPHAR00067,Aster pharmacy 107 king Faisal,,,,,,,,,,,,,,,,,,DUBAI-Aster Sharjah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.3462553,55.4209317
UAEPHAR00068,Aster Pharmacy122 Abu shagara,,,,,,,,,,,,,,,,,,DUBAI-Aster Sharjah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.3462553,55.4209317
UAEPHAR00069,Aster expert Pharmacy buteena 1,,,,,,,,,,,,,,,,,,DUBAI-Aster Sharjah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.3462553,55.4209317
UAEPHAR00070,Aster 133 Pharmacy buteena 2,,,,,,,,,,,,,,,,,,DUBAI-Aster Sharjah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.3462553,55.4209317
UAEPHAR00071,Aster Pharmacy 123 Ajman,,,,,,,,,,,,,,,,,,  DUBAI-Aster Ajman,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.4052165,55.5136433
UAEPHAR00072,Aster Pharmacy 106Al Nadha Sharjah,,,,,,,,,,,,,,,,,,DUBAI-Aster Sharjah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.3462553,55.4209317
UAEPHAR00073,Aster Pharmacy fujairah,,,,,,,,,,,,,,,,,, DUBAI-Aster Fujairah,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1288099,56.3264849
